,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
806,30.5297,120.0,37.5212,39.8905,73.5761,59.4424,59.4424,73.5761,39.8905,37.5212,120,30.5297
807,12.8685,79.1219,21.3942,35.2382,20.1354,11.823,11.823,20.1354,35.2382,21.3942,79.1219,12.8685
808,2.12759,37.8754,6.88931,26.08,3.51458,3.04588,3.04588,3.51458,26.08,6.88931,37.8754,2.12759
809,53.0102,188.769,103.622,94.5796,46.1531,19.187,19.187,46.1531,94.5796,103.622,188.769,53.0102
810,65.8985,202.387,162.676,107.159,37.8603,28.4582,28.4582,37.8603,107.159,162.676,202.387,65.8985
811,101.026,293.441,139.42,114.477,45.6935,23.1579,23.1579,45.6935,114.477,139.42,293.441,101.026
812,43.3882,156.983,23.3205,21.5671,29.9741,12.9386,12.9386,29.9741,21.5671,23.3205,156.983,43.3882
813,89.4597,248.87,58.7001,41.1102,53.2472,30.9681,30.9681,53.2472,41.1102,58.7001,248.87,89.4597
814,2.69033,19.7769,1.34183,5.55126,1.63955,2.67433,2.67433,1.63955,5.55126,1.34183,19.7769,2.69033
815,263.739,657.666,340.862,173.286,213.881,117.857,117.857,213.881,173.286,340.862,657.666,263.739
816,194.884,730.624,222.454,232.493,40.954,38.091,38.091,40.954,232.493,222.454,730.624,194.884
817,17.6429,48.1129,2.75034,7.50324,17.4072,16.7982,16.7982,17.4072,7.50324,2.75034,48.1129,17.6429
818,23.3224,86.8494,16.0594,15.858,20.6941,11.2272,11.2272,20.6941,15.858,16.0594,86.8494,23.3224
819,13.4002,62.4438,67.0553,54.1668,40.6412,24.2203,24.2203,40.6412,54.1668,67.0553,62.4438,13.4002
820,162.992,319.27,127.988,85.3032,127.581,46.8201,46.8201,127.581,85.3032,127.988,319.27,162.992
821,1.50121,17.8362,1.39759,3.09218,1.42937,0.245098,0.245098,1.42937,3.09218,1.39759,17.8362,1.50121
822,7.32291,41.2007,12.5963,24.6423,21.9088,13.7789,13.7789,21.9088,24.6423,12.5963,41.2007,7.32291
823,41.4712,119.316,67.0881,51.8182,20.9621,25.1194,25.1194,20.9621,51.8182,67.0881,119.316,41.4712
824,20.5813,73.7717,28.7779,35.9225,21.5297,21.4672,21.4672,21.5297,35.9225,28.7779,73.7717,20.5813
825,69.4123,170.68,78.4717,52.6629,28.7439,19.4078,19.4078,28.7439,52.6629,78.4717,170.68,69.4123
826,139.68,409.992,230.95,178.522,40.1913,24.9903,24.9903,40.1913,178.522,230.95,409.992,139.68
827,62.8262,244.286,91.9091,95.3711,33.7871,23.9993,23.9993,33.7871,95.3711,91.9091,244.286,62.8262
828,0.960255,10.7056,0.322104,4.35875,2.33794,0.202247,0.202247,2.33794,4.35875,0.322104,10.7056,0.960255
829,42.0034,161.044,98.0568,86.4512,49.7296,27.1497,27.1497,49.7296,86.4512,98.0568,161.044,42.0034
830,590.575,1012.75,382.696,133.805,271.374,170.325,170.325,271.374,133.805,382.696,1012.75,590.575
831,164.156,463.699,162.603,112.739,94.1548,72.3584,72.3584,94.1548,112.739,162.603,463.699,164.156
832,149.9,389.954,185.522,81.0174,26.4157,15.5003,15.5003,26.4157,81.0174,185.522,389.954,149.9
833,161.244,338.584,122.863,54.2674,35.809,17.3604,17.3604,35.809,54.2674,122.863,338.584,161.244
834,5.64178,30.7097,2.04516,5.7924,2.38913,1.72263,1.72263,2.38913,5.7924,2.04516,30.7097,5.64178
835,2.36022,9.54973,0.454178,1.77954,0.677952,1.14111,1.14111,0.677952,1.77954,0.454178,9.54973,2.36022
836,30.2867,78.2285,11.5406,22.4155,27.08,17.2165,17.2165,27.08,22.4155,11.5406,78.2285,30.2867
837,3.24973,16.3523,3.71287,2.67449,15.2602,8.06854,8.06854,15.2602,2.67449,3.71287,16.3523,3.24973
838,13.5947,57.3954,19.6163,11.4561,18.0215,9.5465,9.5465,18.0215,11.4561,19.6163,57.3954,13.5947
839,28.5918,116.458,19.3723,23.5542,33.3116,27.2778,27.2778,33.3116,23.5542,19.3723,116.458,28.5918
840,4.24758,24.7804,6.746,6.55252,5.00222,1.49447,1.49447,5.00222,6.55252,6.746,24.7804,4.24758
841,10.1466,65.2896,9.27733,6.3391,14.5081,17.7045,17.7045,14.5081,6.3391,9.27733,65.2896,10.1466
842,27.703,96.4164,43.5237,35.5114,30.4165,19.3495,19.3495,30.4165,35.5114,43.5237,96.4164,27.703
843,1.2506,22.0022,1.37381,4.68902,7.92612,4.38132,4.38132,7.92612,4.68902,1.37381,22.0022,1.2506
844,0.128857,13.4345,0.311216,0.584142,0.186866,1.17046,1.17046,0.186866,0.584142,0.311216,13.4345,0.128857
845,0.534141,19.0816,8.31594,6.92117,2.09117,0.387558,0.387558,2.09117,6.92117,8.31594,19.0816,0.534141
846,0.124342,8.52477,0.305563,2.85688,0.930166,0.809703,0.809703,0.930166,2.85688,0.305563,8.52477,0.124342
847,1.00033,11.0567,0.693465,1.98313,1.00855,0.502194,0.502194,1.00855,1.98313,0.693465,11.0567,1.00033
848,0.649965,3.44447,0.481598,0.797899,5.0201,0.125801,0.125801,5.0201,0.797899,0.481598,3.44447,0.649965
849,24.8012,86.0843,40.3188,44.6642,51.0945,36.2908,36.2908,51.0945,44.6642,40.3188,86.0843,24.8012
850,24.4159,112.252,45.7283,71.3501,11.0545,7.52891,7.52891,11.0545,71.3501,45.7283,112.252,24.4159
851,11.1395,50.0735,10.7583,29.6323,7.65274,4.7232,4.7232,7.65274,29.6323,10.7583,50.0735,11.1395
852,1.04302,28.8754,2.67119,4.83656,4.07504,1.59525,1.59525,4.07504,4.83656,2.67119,28.8754,1.04302
853,21.5464,86.8725,61.4277,66.3288,26.797,16.017,16.017,26.797,66.3288,61.4277,86.8725,21.5464
854,11.5226,77.2625,20.5094,34.2944,36.5252,17.2743,17.2743,36.5252,34.2944,20.5094,77.2625,11.5226
855,1.43112,7.2863,1.61712,1.38405,2.0963,1.49678,1.49678,2.0963,1.38405,1.61712,7.2863,1.43112
856,4.74904,39.9928,7.6551,13.6914,19.9612,11.3831,11.3831,19.9612,13.6914,7.6551,39.9928,4.74904
857,5.02655,31.8371,2.37001,4.75174,3.32208,1.0514,1.0514,3.32208,4.75174,2.37001,31.8371,5.02655
858,0.237305,9.00388,0.783276,2.85049,1.98555,1.80666,1.80666,1.98555,2.85049,0.783276,9.00388,0.237305
859,6.20866,16.3878,24.2349,21.858,16.311,15.2748,15.2748,16.311,21.858,24.2349,16.3878,6.20866
860,91.6568,270.738,97.6046,86.2482,80.693,83.2609,83.2609,80.693,86.2482,97.6046,270.738,91.6568
861,89.9073,275.953,119.868,74.1204,37.3424,23.9508,23.9508,37.3424,74.1204,119.868,275.953,89.9073
862,23.0574,73.1948,14.3209,17.0274,34.6638,22.0569,22.0569,34.6638,17.0274,14.3209,73.1948,23.0574
863,25.2918,110.811,44.2352,45.5576,15.6901,16.8892,16.8892,15.6901,45.5576,44.2352,110.811,25.2918
864,12.575,55.9149,8.13605,14.15,1.13955,1.09334,1.09334,1.13955,14.15,8.13605,55.9149,12.575
865,3.34699,47.0692,4.47957,8.48365,17.2328,9.12433,9.12433,17.2328,8.48365,4.47957,47.0692,3.34699
866,9.65625,67.6012,7.14337,8.7051,21.5166,18.2487,18.2487,21.5166,8.7051,7.14337,67.6012,9.65625
867,0.726257,8.5393,0.82579,0.153889,1.25811,0.568265,0.568265,1.25811,0.153889,0.82579,8.5393,0.726257
868,18.5608,86.5803,32.2038,17.5026,24.8887,6.86426,6.86426,24.8887,17.5026,32.2038,86.5803,18.5608
869,0.10217,2.78915,0.00719424,0.533624,0.211143,0.400407,0.400407,0.211143,0.533624,0.00719424,2.78915,0.10217
870,9.43218,41.3484,11.1295,8.51752,25.0266,11.9442,11.9442,25.0266,8.51752,11.1295,41.3484,9.43218
871,0.123791,9.86757,0.369143,2.69766,0.963741,0.461082,0.461082,0.963741,2.69766,0.369143,9.86757,0.123791
872,18.5973,91.9109,28.2531,39.6564,40.1572,34.0759,34.0759,40.1572,39.6564,28.2531,91.9109,18.5973
873,616.105,1416.88,580.909,248.365,436.708,263.946,263.946,436.708,248.365,580.909,1416.88,616.105
874,4.91206,26.5642,5.87397,17.9106,1.63166,2.78171,2.78171,1.63166,17.9106,5.87397,26.5642,4.91206
875,0.673942,15.591,2.15392,2.55554,1.49303,0.61961,0.61961,1.49303,2.55554,2.15392,15.591,0.673942
876,3.25075,38.1256,7.82541,9.74354,9.08863,8.59494,8.59494,9.08863,9.74354,7.82541,38.1256,3.25075
877,0.241698,18.3876,1.02617,2.82101,1.09861,0.831818,0.831818,1.09861,2.82101,1.02617,18.3876,0.241698
878,4.37956,40.7681,11.4788,18.6006,7.80678,3.72885,3.72885,7.80678,18.6006,11.4788,40.7681,4.37956
879,14.2563,40.7734,10.5787,9.37702,9.53221,4.94221,4.94221,9.53221,9.37702,10.5787,40.7734,14.2563
