,p300_processed_1.csv,h3k27ac_processed_5.csv,h3k27ac_processed_4.csv,h3k27ac_processed_3.csv,h3k27ac_processed_2.csv,h3k27ac_processed_1.csv,H3K27ac_1.csv,Dnase_processed_6.csv,Dnase_processed_5.csv,Dnase_processed_4.csv,Dnase_processed_3.csv,Dnase_processed_2.csv,Dnase_processed_1.csv
2084,2.19789,19.0196,3.9187,14.6188,3.36539,3.46826,0.0397659,0.100925,0.0040863,0.108643,0.165593,0.124542,0.0
2085,0.310595,9.45783,1.65687,4.95148,1.3853,0.606574,0.0199856,0.0329645,0.00452316,0.0116497,0.123816,0.237881,0.0
2086,18.549,67.6025,7.98111,10.5834,18.9089,10.7945,0.0286788,0.0633144,0.117754,0.115526,1.12521,1.19683,0.0339203
2087,16.5264,50.4945,10.7338,24.6536,15.0467,8.73322,0.281114,0.055801,0.0899042,0.109248,0.02367,0.0248312,0.0
2088,0.398966,5.42881,0.832236,2.58459,0.0348499,0.221848,0.0137187,0.0,0.0202583,0.0203811,0.0898566,0.115982,0.0
2089,8.52483,32.8916,11.6843,8.12417,14.8972,10.6007,0.0371225,0.043186,0.00216927,0.223368,0.0503009,0.0490833,0.0113067
2090,0.377398,21.5183,3.51163,4.15593,0.760348,1.4811,0.0269875,0.0195185,0.0128549,0.0241173,0.0404395,0.174817,0.0226135
2091,4.15424,26.1971,7.73585,9.08097,10.7372,8.56356,0.116687,0.0356391,0.00795399,0.257727,0.239379,0.215212,0.0226135
2092,4.38954,16.2427,11.2939,16.9448,15.531,7.73539,0.0295881,0.00251392,0.0456137,0.0217382,0.191512,0.172048,0.0
2093,8.26008,41.3843,5.29551,10.235,12.4187,8.82685,0.197641,0.126033,0.200758,0.131893,0.0917461,0.114628,0.0339203
2094,5.53426,27.0436,2.32241,6.43608,4.92123,2.53262,0.149868,0.0431998,0.00393959,0.0122195,0.12213,0.468332,0.0339203
2095,90.2015,289.227,111.287,71.7559,80.6323,50.0466,2.03827,1.00633,0.450729,2.1154,1.11301,3.19661,0.562215
2096,2.77483,22.1397,8.65747,14.4117,2.24759,0.928125,0.0342908,0.162117,0.00176351,0.0663028,0.0698375,0.150257,0.0
2097,4.89018,29.8611,5.10854,12.8229,5.48336,1.45457,0.261555,0.00280487,0.0192078,0.198596,0.362447,0.465397,0.0096915
